name,trip_count,route_count,geometry
Depot-41 Gunjuru,19,2,POINT (77.7433 12.92231)
Depot-42 Gate  Arrival,4,2,POINT (77.70565 12.89538)
Depot-42 Gate Departure,77,20,POINT (77.7057 12.89553)
Depot-42 Kodathi,28,4,POINT (77.7041 12.89596)
Depot-43 Gate,5,3,POINT (77.42564 13.06595)
Depot-43 Shivanapura,3,2,POINT (77.42575 13.0668)
Depot-44 Anjanapura,2,1,POINT (77.56969 12.85538)
Depot-45 Gate,38,16,POINT (77.55066 13.08298)
Depot-45 MS Palya,21,7,POINT (77.55046 13.08431)
Depot-46 Sadenahalli,1,1,POINT (77.56681 13.18393)
Depot-47 Gate,1,1,POINT (77.73201 13.08467)
Depot-47 Manduru,3,2,POINT (77.73146 13.08535)
Depot-48 Byrathibande,62,12,POINT (77.65422 13.07668)
Depot-48 Gate,20,9,POINT (77.65472 13.07752)
Depot-50 Devanahalli,3,3,POINT (77.71744 13.24698)
Depot-51 Sadaramangala,10,1,POINT (77.72654 12.99672)
Depot-51 Sadaramangala Departure,96,26,POINT (77.72622 12.99606)
Depot-9,49,1,POINT (77.50051 13.02036)
Deshnarayanaswamy Temple,35,9,POINT (77.74569 13.13726)
Design Global Mavallipura,114,47,POINT (77.53093 13.1313)
Deva Machohalli Cross,4,2,POINT (77.3811 12.96552)
Devadiga Soudha,2,1,POINT (77.51998 12.9265)
Devaganahalli,1,1,POINT (77.64887 13.2531)
Devagere,8,5,POINT (77.4657 12.85653)
Devagere Colony,3,1,POINT (77.45801 12.85357)
Devagere Cross,106,41,POINT (77.45713 12.86431)
Devaiah Park,28,14,POINT (77.56424 12.99628)
Devalapura,2,1,POINT (77.82944 12.98457)
Devalapura Circle,61,3,POINT (77.82842 12.98272)
Devanagondi,37,12,POINT (77.83869 12.97407)
Devanagondi LPG,3,1,POINT (77.83018 12.98996)
Devanagondi Railway Station,1,1,POINT (77.82975 12.98547)
Devanagundi Cross,11,5,POINT (77.82737 13.06044)
Devanahalli Bypass NH-7,5,2,POINT (77.70399 13.24231)
Devanahalli Cross Sulibele,38,17,POINT (77.79795 13.18482)
Devanahalli Govt Hospital,18,10,POINT (77.72657 13.25751)
Devanahalli New Bus Station,9,6,POINT (77.71274 13.24543)
Devanahalli Old Bus Stand,37,17,POINT (77.7156 13.24845)
Devanahalli Talluk Office,176,40,POINT (77.70893 13.24358)
Devaninjayyanapalya,21,3,POINT (77.41453 13.01712)
Devannanapalya,65,22,POINT (77.43133 13.07734)
Devarabisanahalli Ring Road,164,34,POINT (77.68729 12.93218)
Devarachikkanahalli,2,2,POINT (77.61555 12.88899)
Devasandra Chikkamaranahalli,16,10,POINT (77.56656 13.03638)
Devashettyhalli,167,15,POINT (77.82109 13.02425)
Devasthana Bidluru,205,53,POINT (77.68983 13.27827)
Devegowda Hospital,1,1,POINT (77.56002 12.92053)
Devegowda Petrol Bunk,235,60,POINT (77.56033 12.9227)
Devinagara Cross,29,17,POINT (77.56904 13.047)
Devis Road,13,6,POINT (77.61968 13.00426)
Dhaba Gate,87,20,POINT (77.68726 13.22638)
Dharma Nayakana Tandya,10,6,POINT (77.34885 13.03018)
Dharmapura,9,3,POINT (77.80071 13.26845)
Dharmapura Cross,96,13,POINT (77.80909 13.26445)
Dharmapura Gate,1,1,POINT (77.80407 13.28387)
Dhobi Ghat Rajajinagara,11,7,POINT (77.551 12.98761)
Dhoopanahalli,7,4,POINT (77.64156 12.96354)
Diacon Hospital,11,4,POINT (77.55003 13.00379)
Dibbur,60,11,POINT (77.5288 13.16685)
Dinnepalya,28,13,POINT (77.49239 12.81119)
Dinnur,195,34,POINT (77.75146 12.99165)
Dinnur Cross,10,6,POINT (77.80129 13.25083)
Dinnur Main Road,53,24,POINT (77.59884 13.02401)
Dinnur Sudhamanagara,8,5,POINT (77.70584 12.71452)
Diwanarapalya,10,2,POINT (77.5618 13.02674)
Doctors Layout Kasturinagara,7,4,POINT (77.65948 13.00609)
Dodda Aladamara,6,3,POINT (77.39551 12.90999)
Dodda Aladamara Cross,2,2,POINT (77.40744 12.96386)
Dodda Basti,141,23,POINT (77.47298 12.93967)
Dodda Bommasandra,6,5,POINT (77.55889 13.06065)
Dodda Bommasandra Arch,27,6,POINT (77.55928 13.05884)
Dodda Byalakere,89,18,POINT (77.52464 13.1135)
Dodda Cheemanahalli,3,3,POINT (77.62204 13.24783)
Dodda Cheemanahalli Cross,5,2,POINT (77.62393 13.2505)
Dodda Dunnasandra,28,15,POINT (77.81661 12.97683)
Dodda Dunnasandra Cross,67,24,POINT (77.82046 12.97585)
Dodda Gubbi,116,19,POINT (77.67401 13.07093)
Dodda Haralegere,9,3,POINT (77.83876 13.19406)
Dodda Hullur Gate,39,7,POINT (77.82166 13.10189)
Dodda Hulluru School Gate,6,3,POINT (77.81684 13.09719)
Dodda Kurabarahalli,24,9,POINT (77.80913 13.22559)
Dodda Maralawadi,1,1,POINT (77.52529 12.61221)
Dodda Nallala,1,1,POINT (77.89664 13.08426)
Dodda Nekkundi Bridge/Rainbow Hospital,7,2,POINT (77.697 12.97565)
Dodda Thimmasandra Gate,42,13,POINT (77.81302 12.87911)
Dodda Tumkur,4,2,POINT (77.53104 13.22623)
Doddabadhegere Gate,1,1,POINT (77.48293 12.669)
Doddaballapura Bus Stand,34,11,POINT (77.54224 13.29346)
Doddaballapura Railway Station,1,1,POINT (77.55162 13.28041)
Doddabannahalli,33,5,POINT (77.74836 13.02641)
Doddabele,2,2,POINT (77.47754 12.88874)
Doddadenahalli 1,11,2,POINT (77.91946 13.0683)
Doddagattiganabbe,5,1,POINT (77.78788 13.03369)
Doddagattiganabbe Cross,5,3,POINT (77.78551 13.03341)
Doddahosahalli,3,1,POINT (77.75047 13.19782)
Doddajala,19,6,POINT (77.65338 13.17735)
Doddakallasandra,36,12,POINT (77.55671 12.88596)
Doddakallasandra Metro Station,64,28,POINT (77.55312 12.88467)
Doddakammanahalli,8,8,POINT (77.59989 12.85302)
Doddakannalli,4,3,POINT (77.69556 12.90731)
Doddamaranahalli,2,2,POINT (77.38284 12.93053)
Doddamma Temple,73,30,POINT (77.69092 12.8474)
Doddanalluru,1,1,POINT (77.76329 13.1915)
Dodderi College,4,2,POINT (77.38597 12.86752)
Dodderi Grama,2,1,POINT (77.37822 12.86644)
Dodderi Tumkur Road,1,1,POINT (77.30925 13.16968)
Doddy,117,21,POINT (77.45169 13.16962)
Dombara Doddy Cross,204,27,POINT (77.39316 12.70197)
Dombarahalli,3,1,POINT (77.45984 13.04914)
Dombarahatti Dongadipura Cross,51,4,POINT (77.46049 12.9722)
Domlur,63,26,POINT (77.63667 12.96122)
Domlur Cross,5,2,POINT (77.8559 12.97456)
Domlur Flyover,49,20,POINT (77.64251 12.96045)
Dommara Doddy,5,1,POINT (77.39699 12.7028)
Dommasandra,29,14,POINT (77.75375 12.87953)
Dommasandra Circle,31,15,POINT (77.75241 12.88322)
Donnenahalli,106,19,POINT (77.37519 12.88423)
Dorekavalu,24,4,POINT (77.68632 13.26215)
Double Road,2,1,POINT (77.6097 12.87874)
Double Road BEML Layout,41,9,POINT (77.52066 12.91489)
Double Road Indiranagara,2,2,POINT (77.63645 12.97821)
Dr BR Ambedkar Bus Terminal (Domlur),8,4,POINT (77.63881 12.96163)
Dr Shivaramkaranth Residents,3,1,POINT (77.62542 13.06908)
Dr.Shivaramakaranth Nagara,25,3,POINT (77.62917 13.06831)
Dubasipalya,4,2,POINT (77.4952 12.92747)
Dubasipalya Cross,6,2,POINT (77.49583 12.9229)
Dudapanahalli,9,3,POINT (77.29642 12.96018)
Durga Parameshwari Temple,5,3,POINT (77.55975 13.08182)
Dwaraka Nagara,12,9,POINT (77.61808 13.12136)
Dyavarahalli Cross,4,3,POINT (77.60747 13.23135)
Dyavasandra,14,6,POINT (77.648 12.75752)
Dyavasandra Cross,43,17,POINT (77.64044 12.75791)
E Hosuru,7,3,POINT (77.60586 13.22705)
ELC NICE Road,3,3,POINT (77.6588 12.85824)
EMC2,62,22,POINT (77.69301 12.98256)
ESI Hospital Rajajinagara,55,28,POINT (77.55258 12.99069)
Eagleton Resort,10,4,POINT (77.41626 12.81067)
East End Jayanagara,9,5,POINT (77.59683 12.91709)
East Point College,21,8,POINT (77.71999 13.05014)
East Railway Station,1,1,POINT (77.61865 13.00143)
East West College Cross,50,8,POINT (77.48632 12.98559)
East West Public School,69,8,POINT (77.55638 13.00556)
Echalamara Vidyaranyapura,69,6,POINT (77.55932 13.08008)
Eco Space,7,4,POINT (77.6812 12.92838)
Ejipura,16,8,POINT (77.62876 12.94684)
Ejipura School,1,1,POINT (77.63081 12.94272)
ElC City Phase-2 Xavier Institute of Management,3,2,POINT (77.67529 12.84756)
Electric B Station,10,3,POINT (77.61394 12.97405)
Electronic City,135,43,POINT (77.67083 12.84815)
Electronic City FLY,29,9,POINT (77.67202 12.84598)
Electronic City KIA,8,3,POINT (77.66201 12.85049)
Electronic City PESIT College,5,3,POINT (77.66179 12.85897)
Electronic City Wipro Main Gate,5,4,POINT (77.65742 12.83594)
Elgin Floor Mill,7,2,POINT (77.6061 12.95873)
Embassy School,5,2,POINT (77.59548 13.17391)
Eradu Kamba,10,5,POINT (77.45135 12.84898)
Escorts,79,11,POINT (77.58569 13.10263)
Eshwara Layout,14,5,POINT (77.57566 12.89145)
Eshwara Temple Puttayyanapalya,7,4,POINT (77.41179 12.95336)
Estate Tavarekere,69,33,POINT (77.40404 12.95449)
Exide Gate,51,19,POINT (77.78528 12.83503)
Fairland Shop,15,5,POINT (77.62531 12.95044)
Fathima Church,21,4,POINT (77.54137 13.05478)
Forest Gate,25,8,POINT (77.45971 12.99176)
Form House Gorinabele,3,1,POINT (77.35321 13.04568)
Forum Mall,196,68,POINT (77.61228 12.9346)
Frazer Town,29,17,POINT (77.61196 13.00115)
Fullinfaws College Yelenahalli,2,2,POINT (77.61154 12.89524)
G Hosahalli,6,3,POINT (77.47847 12.99592)
GG Palya Toll,84,24,POINT (77.53588 13.03105)
GKVK,100,12,POINT (77.58007 13.07792)
GKVK GATE,24,8,POINT (77.59253 13.07246)
GKW Layout,5,3,POINT (77.52845 12.96802)
GM Palya,1,1,POINT (77.66605 12.97519)
GM palya,4,2,POINT (77.66618 12.97518)
GPO,49,10,POINT (77.5951 12.98173)
GR Tech Park ITPL,21,8,POINT (77.74351 12.98666)
GTRE Engine Division,221,37,POINT (77.64942 12.9836)
Gadenahalli,12,4,POINT (77.61756 13.18817)
Gadenahalli Gate,73,15,POINT (77.6195 13.19583)
Gadipalya,11,2,POINT (77.52849 12.76631)
Galaxy Paradise (Tent),32,4,POINT (77.62585 12.89162)
Ganagalu,2,2,POINT (77.802 13.04925)
Ganagalu Cross,26,9,POINT (77.79761 13.04597)
Ganagaluru Circle,9,4,POINT (77.85016 12.89332)
Ganagaluru Cross,11,3,POINT (77.86169 12.91382)
Ganakal,143,32,POINT (77.51231 12.89801)
Ganapathi Nagara Raghavendra Badavane,39,20,POINT (77.49707 13.07897)
Ganapathihalli,11,4,POINT (77.39526 12.91776)
Ganapathipura,13,7,POINT (77.57188 12.89327)
Gandhi Farm Gate,6,1,POINT (77.49762 12.64482)
Gandhi Nagara,20,13,POINT (77.50452 12.79019)
Gandhipura,66,13,POINT (77.75239 12.96968)
Ganesha Bhavan,36,8,POINT (77.56426 12.94411)
Ganesha Circle Vaddarahalli,83,16,POINT (77.45495 13.02569)
Ganesha Gudi Nelamangala,53,18,POINT (77.39289 13.08377)
Ganesha Temple Chandra Layout,56,16,POINT (77.52863 12.95772)
Ganesha Temple Mahalakshmi Layout,7,2,POINT (77.54313 13.00868)
Ganesha Temple Mahalaskhmi Layout,238,34,POINT (77.5432 13.00862)
Ganesha Temple Sahakara Nagara,2,1,POINT (77.58561 13.06342)
Ganesha Temple Tavarekere,72,22,POINT (77.40326 12.96708)
Ganesha Temple Thippasandra,106,33,POINT (77.65412 12.97206)
Ganesha Temple Vasanthanagara,9,4,POINT (77.59199 12.99524)
Ganga International School,30,15,POINT (77.49633 13.02827)
Gangadaranapalya,3,1,POINT (77.37612 13.12071)
Gangadhara Kalyana Mantapa,13,5,POINT (77.51115 13.07995)
Gangamma Circle,78,21,POINT (77.54635 13.05776)
Gangamma Temple Maralawadi Road,3,3,POINT (77.499 12.6363)
Gangappanahalli,4,2,POINT (77.35131 12.95852)
Gangasandra,262,77,POINT (77.47075 12.84622)
Gangavara,3,1,POINT (77.76347 13.15294)
Gangenahalli,14,8,POINT (77.39188 12.98369)
Gangenahalli Cross,32,15,POINT (77.3999 12.97277)
Gangenahalli Junction,19,8,POINT (77.38713 12.98348)
Gangondanahalli Cross,12,2,POINT (77.46453 13.029)
Ganigarahalli,17,8,POINT (77.51 13.08911)
Ganigarapalya,24,9,POINT (77.53311 12.87601)
Ganigarapalya Cross Yantaganahalli,1,1,POINT (77.35991 13.06567)
Ganjalahalli,19,4,POINT (77.90164 13.15249)
Gantaganahalli,19,4,POINT (77.58862 13.14336)
Gantakana Doddy Cross,14,7,POINT (77.48828 12.74144)
Garden City College TC Palya,26,8,POINT (77.70712 13.02443)
Garments Factory Borugunte,6,3,POINT (77.78312 12.8445)
Garuda Mall,140,20,POINT (77.61066 12.97026)
Garudacharpalya,7,4,POINT (77.70158 12.99403)
Garudappa Circle Thigalarapalya,44,13,POINT (77.48414 13.01572)
Garvebhavipalya,50,18,POINT (77.63566 12.8964)
Gas Factory Kempalinganahalli,45,8,POINT (77.36416 13.09242)
Gattahalli,4,2,POINT (77.70361 12.86831)
Gattigerepalya,21,14,POINT (77.50221 12.88356)
Gavi Gangadareshwara Temple,2,1,POINT (77.5625 12.94898)
Gavinagamangala Gate,2,1,POINT (77.24346 12.93611)
Gaviyanapalya,4,1,POINT (77.46995 12.84097)
Gayathri Nagara,55,17,POINT (77.55996 12.99824)
Gayathri Nagara Cross,63,10,POINT (77.38346 13.01481)
Geddalahalli,124,14,POINT (77.57751 13.03082)
Geddalapura,30,7,POINT (77.84059 12.9956)
Geetanjali Layout,5,3,POINT (77.65482 12.97691)
Gejjagadahalli Cross,9,3,POINT (77.49757 13.2359)
Gejjagalpalya,5,2,POINT (77.31333 13.03035)
Gerahalli,82,34,POINT (77.3906 13.03725)
Gerupalya,1,1,POINT (77.44429 12.88772)
Ghati Subramanya,213,34,POINT (77.52871 13.40793)
Gidadakonenahalli Cross,13,6,POINT (77.48791 12.97455)
Gidaveerasagara,32,9,POINT (77.2036 13.21646)
Girigowdana Doddy,2,1,POINT (77.5234 12.74596)
Girigowdana Doddy Colony,105,22,POINT (77.52342 12.74742)
Girigowdana Doddy Cross,22,9,POINT (77.50956 12.76879)
Girinagara,7,5,POINT (77.54497 12.94322)
Girinagara 2nd Stage,1,1,POINT (77.54535 12.94091)
Girinagara Extension,1,1,POINT (77.53951 12.94102)
Giriyamma Circle,19,8,POINT (77.71315 13.24475)
Glass Factory,30,10,POINT (77.5669 12.8765)
Glass House,59,30,POINT (77.51222 12.90702)
Gokula,12,3,POINT (77.55719 13.04151)
Gollahalli,231,62,POINT (77.67538 13.08368)
Gollahalli Cross,34,12,POINT (77.72835 13.15037)
Gollahallii Road Junction,9,5,POINT (77.48893 12.90756)
Gollarahatti,68,11,POINT (77.47274 12.98862)
Gollarapalya,3,2,POINT (77.42521 12.80155)
Gonighattapura,78,11,POINT (77.7888 12.91374)
Gonighattapura Cross,92,39,POINT (77.79446 12.9128)
Gopalapura,51,17,POINT (77.42631 13.14124)
Gopasandra Cross,80,17,POINT (77.81029 13.22841)
Gopasandra Gate,1,1,POINT (77.72991 12.85241)
Goraguntepalya,98,26,POINT (77.5395 13.02895)
Goraguntepalya  Ring Road,23,7,POINT (77.53707 13.02997)
Goravanahalli Cross,37,16,POINT (77.35794 13.05626)
Gorinabele Cross,9,3,POINT (77.35263 13.04427)
Goripalya,11,7,POINT (77.55783 12.96355)
Gorivegere Gate,24,8,POINT (77.76046 13.04398)
Gottigehalli,12,8,POINT (77.52621 12.72095)
Gottigehalli Junction,1,1,POINT (77.52949 12.72555)
Gottigere,120,28,POINT (77.58887 12.85744)
Gottipura,105,48,POINT (77.8501 13.1081)
Gottipura Gate,11,5,POINT (77.84653 13.0948)
Govardhan Talkies,164,44,POINT (77.55274 13.02)
Govindapura,2,1,POINT (77.85143 13.03128)
Govindapura Colony,79,7,POINT (77.85812 13.03063)
Govindapura Cross,91,40,POINT (77.62194 13.03247)
Govindarajanagara,8,3,POINT (77.53646 12.97561)
Govt Hospital Arakere,15,5,POINT (77.60321 12.88724)
Govt Hospital Vijayapura,34,11,POINT (77.79391 13.29565)
Govt Junior College Chikkaballapura,1,1,POINT (77.73056 13.42953)
Govt Primary School Bommasandra,14,9,POINT (77.69366 12.81707)
Govt School Thotada Guddadahalli,3,1,POINT (77.4869 13.07008)
Govt School Yalahanka 4th Phase,4,3,POINT (77.57422 13.10388)
Govt Soap Factory,117,29,POINT (77.55385 13.01352)
Gowdahalli,26,15,POINT (77.52024 13.22737)
Gowdaiahanapalya,37,10,POINT (77.35913 13.03251)
Gowdanapalya,35,9,POINT (77.55591 12.91152)
Gowrava Bhovi Palya,26,13,POINT (77.38891 12.97381)
Gowrava Nagara,45,9,POINT (77.58266 12.88476)
Gowrenahalli,43,8,POINT (77.68131 12.72307)
Grandwell,4,3,POINT (77.73995 13.06328)
Graphite India,34,8,POINT (77.71005 12.97705)
Graphite Junction,120,34,POINT (77.70808 12.98524)
Green Wood High School,51,14,POINT (77.74775 12.90114)
Gruhalakshmi Layout,38,11,POINT (77.50036 13.0299)
Gubbalala,6,3,POINT (77.54123 12.8839)
Gubbalala Gate,51,13,POINT (77.55134 12.88431)
Gubbi Cross,15,8,POINT (77.65167 13.06454)
Guddadahalli,94,10,POINT (77.46224 13.14137)
Guddahalli,1,1,POINT (77.25913 12.92823)
Guddahatti Gate,39,16,POINT (77.73702 12.78811)
Guddaiahnapalya 1,7,3,POINT (77.31854 12.92732)
Gudde Devastana Kamalanagara,215,36,POINT (77.53327 12.99527)
Gudipalya,105,14,POINT (77.47901 12.97123)
Gudipalya Cross,52,15,POINT (77.48386 12.78846)
Guduvanahalli Gate,11,6,POINT (77.76369 13.28072)
Guestline Hotel,269,43,POINT (77.74192 12.78658)
Gulaganjahalli,8,1,POINT (77.41877 12.93707)
Gulaganjahalli Cross,107,50,POINT (77.42528 12.94142)
Gulakamale,3,2,POINT (77.52364 12.79762)
Gullahatti Kaval,212,35,POINT (77.54696 12.73004)
Gullakaipura,139,40,POINT (77.78159 12.93866)
Gunasheela Hospital,22,7,POINT (77.57646 12.94057)
Gundammanapalya,10,4,POINT (77.32709 13.03024)
Gundammanapalya Colony,3,2,POINT (77.32472 13.03084)
Gundanjaneya Swamy Temple Ravagodlu,15,3,POINT (77.51291 12.74957)
Gundappa Road,6,3,POINT (77.57321 13.04252)
Gundur,97,18,POINT (77.71501 13.0867)
Gundur Colony,105,16,POINT (77.84527 12.87507)
Guni Agrahara,34,10,POINT (77.52789 13.09354)
Gunjurpalya,15,3,POINT (77.71782 12.92213)
Gunjurpalya Gate,1,1,POINT (77.72541 12.91726)
Gunjuru,181,54,POINT (77.73649 12.92081)
Gurappanapalya,13,9,POINT (77.59999 12.9191)
Guravanahalli,11,5,POINT (77.34428 12.97957)
Gurudwara/Lido,5,1,POINT (77.6201 12.97506)
Gurukula School Tharahunase,11,6,POINT (77.59888 13.17188)
Guttepalya,35,11,POINT (77.41149 13.16721)
HAL ARDC,172,14,POINT (77.68871 12.96235)
HAL Kalyana Mantap,119,51,POINT (77.68215 12.9546)
HAL Main Gate,85,21,POINT (77.66629 12.95852)
HAL Market/SBI Bank,3,1,POINT (77.66621 12.96036)
HBR Layout,205,47,POINT (77.62849 13.035)
HMT Auditorium,224,35,POINT (77.54503 13.04918)
HMT Auditorium KIAS,8,4,POINT (77.54279 13.04948)
HMT Club House,19,5,POINT (77.55068 13.0535)
HMT Layout 8th Mile,50,16,POINT (77.50412 13.03364)
HMT Layout R T Nagara,4,2,POINT (77.59473 13.0247)
HMT Post Office,64,22,POINT (77.54157 13.05066)
HMT Siddarthanagara,75,31,POINT (77.52234 13.05657)
HMT Watch Factory,4,2,POINT (77.53523 13.05037)
HRBR Layout Cross,11,8,POINT (77.64337 13.02382)
HSBC,662,164,POINT (77.59902 12.89278)
HSR Lay Out Police Station,10,8,POINT (77.65158 12.92014)
HSR Layout 2nd Sector,138,40,POINT (77.64443 12.91219)
HSR Layout Bescom Office,220,39,POINT (77.64952 12.9119)
HSR Layout KEB,139,40,POINT (77.64961 12.90361)
HSR Layout Petrol Bunk,13,9,POINT (77.65161 12.91964)
Hadohalli,11,2,POINT (77.54398 13.36835)
Hagaduru,2,1,POINT (77.75681 12.96581)
Hagalahalli,18,8,POINT (77.33052 12.84916)
Hakki Pikki Colony Bannerughatta,3,1,POINT (77.55819 12.79826)
Hakki Pikki Colony Cross,285,58,POINT (77.39813 12.83925)
Hakkipikki Colony Cross,50,11,POINT (77.40283 12.83823)
Halage Vaderahalli,33,8,POINT (77.51403 12.92021)
Halanayakanahalli,68,6,POINT (77.68829 12.90152)
Halappanahalli,5,4,POINT (77.77789 13.10211)
Halasahalli,12,8,POINT (77.83551 13.09344)
Halasahalli Cross,29,11,POINT (77.83619 13.08981)
Halasuru,30,8,POINT (77.62922 12.97849)
Halasuru Police Station,134,34,POINT (77.62544 12.97516)
Haldenahalli,29,11,POINT (77.71288 12.72017)
Hale Chandapura,59,14,POINT (77.71143 12.80167)
Halehalli,1,1,POINT (77.75207 12.73817)
Halehalli Cross,2,1,POINT (77.75625 12.73095)
Halenahalli Purushanahalli,1,1,POINT (77.39621 13.22323)
Haleyur,10,2,POINT (77.88961 13.20408)
Halubhavipalya,1,1,POINT (77.41607 12.94203)
Hampi Nagara 7th Main,15,10,POINT (77.53757 12.96217)
Hampi Nagara Post Office,2,2,POINT (77.53771 12.96527)
Hampinagara RPC Layout,5,3,POINT (77.53575 12.95872)
Hamsa Farm,26,10,POINT (77.66564 13.10772)
Hancharahalli,80,18,POINT (77.75053 13.09366)
Hancharahalli Circle,209,32,POINT (77.74932 13.091)
Hancharahalli Gate,244,82,POINT (77.74168 13.09183)
Hanchipura,8,1,POINT (77.37219 13.06731)
Handenahalli,26,18,POINT (77.7824 12.85363)
Handenahalli Attibele,13,5,POINT (77.76604 12.82534)
Handigutte,9,2,POINT (77.34792 12.98698)
Haniyuru,1,1,POINT (77.51461 13.21322)
Hanuman Temple Beguru,21,4,POINT (77.62465 12.87284)
Hanumanthanagara Ward Office,32,2,POINT (77.56602 12.94339)
Hanumanthegowdanapalya,5,2,POINT (77.34393 13.09337)
Haragadde,50,19,POINT (77.65364 12.76503)
Haragadde Cross,14,6,POINT (77.65404 12.7643)
Haraluru Gate,89,16,POINT (77.83648 13.05789)
Harapanahalli,55,18,POINT (77.62351 12.79188)
Harapanahalli Village,3,2,POINT (77.62216 12.79075)
Hari Nagara Cross,4,3,POINT (77.56726 12.87916)
Harishchandra Ghat,77,32,POINT (77.56089 12.99695)
Harohalli,52,21,POINT (77.75624 12.75412)
Harohalli Depot,9,3,POINT (77.47846 12.69801)
Harohalli Gate,14,9,POINT (77.73261 12.8652)
Harohalli Petrol bunk,89,25,POINT (77.47494 12.68712)
Harokyatanahalli,1,1,POINT (77.44734 13.05427)
Harokyathanahalli,37,18,POINT (77.4474 13.05423)
Hasanath College,6,6,POINT (77.61384 12.97962)
Hasigaala,14,2,POINT (77.77493 13.13523)
Havanur Circle,124,30,POINT (77.53717 12.98797)
Head Start School Gate,22,6,POINT (77.73246 12.86118)
Hebbagodi,226,37,POINT (77.68224 12.82752)
Hebbala,110,22,POINT (77.58951 13.03917)
Hebbala Bridge,27,10,POINT (77.58967 13.04274)
Heelalige,9,3,POINT (77.70905 12.81789)
Heelalige Cross,1,1,POINT (77.70897 12.80867)
Heggadadevanapura,3,2,POINT (77.4586 13.07596)
Hegganahalli,28,6,POINT (77.50454 13.00367)
Hegganahalli Cross,39,17,POINT (77.50404 12.99974)
Hegganahalli Gate,6,2,POINT (77.60468 13.21779)
Heggondanahalli,100,32,POINT (77.74651 12.90594)
Hejjala,13,5,POINT (77.41701 12.85602)
Hejjala Cross,263,40,POINT (77.42708 12.85535)
Helicopter Division,136,22,POINT (77.67535 12.95662)
Hennagara,12,3,POINT (77.67308 12.78804)
Hennagara Gate,4,2,POINT (77.69939 12.80586)
Hennur,57,20,POINT (77.64152 13.03941)
Hennur Bande,11,6,POINT (77.64051 13.03665)
Hennur Bande Sai Baba Temple,4,3,POINT (77.6407 13.03665)
Hennur Cross,11,4,POINT (77.63588 13.03157)
Hennur Junction,4,4,POINT (77.63316 13.02812)
Hennur Petrol Bunk,232,74,POINT (77.6374 13.03299)
Hennuru Junction,14,7,POINT (77.63291 13.0282)
Hennuru Petrol Bunk,4,1,POINT (77.63752 13.03296)
Heritage Estate Rajanukunte,1,1,POINT (77.57764 13.11825)
Herohalli Cross,145,26,POINT (77.49385 12.98796)
Herohalli Cross1,91,24,POINT (77.4924 12.98736)
Herohalli Sunkadakatte,83,29,POINT (77.4876 12.99051)
Hesaraghatta,2,2,POINT (77.47944 13.13784)
Hesaraghatta TB Cross,59,12,POINT (77.48437 13.13047)
Hesaraghatta Work shop,3,1,POINT (77.49848 13.1563)
Hesaraghatta Workshop,24,12,POINT (77.49844 13.15627)
High Ground Police Station,12,4,POINT (77.58873 12.98909)
High School Sondekoppa,11,6,POINT (77.38464 13.02564)
High School Tharahunase,2,1,POINT (77.59027 13.17701)
Himagiri,9,4,POINT (77.59055 12.86232)
Hindiganala,1,1,POINT (77.91452 13.22143)
Hinnakki,27,5,POINT (77.68075 12.77773)
Hinnakki Gate,67,9,POINT (77.68416 12.77861)
Hiranandani Villas,88,10,POINT (77.69951 13.23894)
Hirandahalli,12,7,POINT (77.72281 13.04568)
Hittarahalli Gate,154,16,POINT (77.74424 13.12333)
Holiday Village Apartment,7,1,POINT (77.54376 12.86693)
Hombalamma Kere,9,2,POINT (77.22752 12.95205)
Hommadevanahalli,59,10,POINT (77.59807 12.84446)
Hommadevanahalli Cross,87,5,POINT (77.59725 12.84075)
Honachenahalli,11,4,POINT (77.85492 13.01845)
Honaganahatti,18,8,POINT (77.42097 12.97421)
Hongasandra,99,15,POINT (77.62623 12.89726)
Hongasandra MICO Layout,1,1,POINT (77.63036 12.88994)
Hongemara Shivanahalli,10,4,POINT (77.5699 12.72442)
Honnakalasapura Cross,13,3,POINT (77.67683 12.72875)
Honnasandra,31,13,POINT (77.44733 13.11712)
Honnayyanapalya,9,4,POINT (77.31999 13.03537)
Honnenahalli,7,4,POINT (77.56665 13.16003)
Hoodi,5,3,POINT (77.71576 12.99191)
Hoodi Metro Station,9,4,POINT (77.7115 12.98863)
Hoovinayakanahalli,98,13,POINT (77.68982 13.148)
Hope Farm,69,27,POINT (77.75261 12.98429)
Horamavu,358,142,POINT (77.6539 13.01969)
Horamavu Agara,5,4,POINT (77.65485 13.0367)
Horamavu Signal,124,26,POINT (77.65576 13.0194)
Hosa Doddy Gate,8,4,POINT (77.48742 12.76459)
Hosa Hudya,130,33,POINT (77.55096 13.23658)
Hosa Road,11,8,POINT (77.65403 12.87041)
Hosa Road FLY,151,27,POINT (77.65296 12.87049)
Hosahalli,409,103,POINT (77.71774 13.13567)
Hosahalli Cross Devanagondi,44,10,POINT (77.82971 12.97479)
Hosahalli Road Junction,145,44,POINT (77.47537 12.98808)
Hosahallipalya,3,2,POINT (77.4541 13.12753)
Hosakerehalli  Junction,20,10,POINT (77.54361 12.93043)
Hosakerehalli Petrol Bunk,15,3,POINT (77.53936 12.9337)
Hosakote Ayyappa Temple,98,23,POINT (77.78696 13.06988)
Hosakote BEO office,4,1,POINT (77.78294 13.07339)
