name,trip_count,route_count,geometry
Are Bannimangala,67,30,POINT (77.71759 13.154)
Arebic College,16,8,POINT (77.62121 13.03049)
Arehalli,126,45,POINT (77.53855 12.90849)
Arehalli Cross,62,16,POINT (77.83669 12.94227)
Arenur,9,4,POINT (77.77503 12.80984)
Arishinakunte,197,72,POINT (77.42417 13.08026)
Army Public School Kamaraja Road,3,1,POINT (77.60941 12.97871)
Art Of Living,90,34,POINT (77.5141 12.82261)
Art Of Living (Kanakapura Road),1,1,POINT (77.51415 12.82279)
Art Of Living Ravishankar Ashram,80,31,POINT (77.51255 12.82863)
Ashoka Pillar,68,28,POINT (77.58515 12.94249)
Ashokanagara,5,2,POINT (77.5625 12.93703)
Ashrama Ramohalli,10,3,POINT (77.42892 12.90617)
Ashwath Nagara,26,10,POINT (77.63144 13.05289)
Ashwath Nagara Cross,4,3,POINT (77.63054 13.05078)
Ashwathkatte Kodihalli,53,11,POINT (77.81063 13.01858)
Ashwathkatte Manorayanapalya,3,1,POINT (77.60448 13.02795)
Ashwathkatte Sultanpalya,24,10,POINT (77.60341 13.0246)
Ashwathnagara,5,4,POINT (77.57973 13.02691)
Attibele,34,8,POINT (77.76968 12.77787)
Attibele Bus Stand,84,28,POINT (77.77086 12.77896)
Attibele Sulibele,3,2,POINT (77.79387 13.1698)
Attiguppe,37,10,POINT (77.53446 12.95787)
Attivatta Gate,20,9,POINT (77.85527 13.09724)
Atturu,29,5,POINT (77.85841 13.09877)
Atturu Layout,5,3,POINT (77.56763 13.09778)
Austin Town,10,7,POINT (77.61344 12.96156)
Austin Town Neelasandra,86,19,POINT (77.61254 12.9616)
Auto Gas/Royal School,1,1,POINT (77.58585 12.90133)
Avadadenahalli Gate,26,10,POINT (77.7078 12.74649)
Avalahalli,295,82,POINT (77.56924 13.13538)
Avalahalli BDA Layout,126,19,POINT (77.56153 12.87386)
Avalahalli BDA Park Girinagara,4,2,POINT (77.54271 12.94332)
Avalahalli Hosakote,72,23,POINT (77.73531 13.03591)
Avalahalli New BDA Layout,9,3,POINT (77.53675 12.9434)
Avalakuppe Cross,3,3,POINT (77.34843 13.02384)
Avaragere Cross,20,2,POINT (77.37784 12.80962)
Avasarala Factory Kanakapura Road,24,6,POINT (77.49265 12.78204)
Avathi,68,6,POINT (77.72548 13.29633)
Averahalli,2,2,POINT (77.41612 13.03503)
Averahalli Cross,61,22,POINT (77.41493 13.04392)
Avinash Petrol Bunk,35,14,POINT (77.58862 12.99045)
