name,trip_count,route_count,id,geometry
Sarayipalya,41,11,2i2,POINT (77.62868 13.04745)
Sarayipalya,42,14,3az,POINT (77.62858 13.04746)
Sarjapura,60,15,13m,POINT (77.7856 12.86136)
Sarjapura,26,11,186,POINT (77.78568 12.86125)
Sarjapura Circle,78,22,1ab,POINT (77.78352 12.86102)
Sarjapura Circle,17,6,1g3,POINT (77.78363 12.86073)
Sarjapura Circle,19,9,u4,POINT (77.78331 12.86089)
Sarjapura Ring Road Junction,105,14,36b,POINT (77.66825 12.92203)
Sarjapura Ring Road Junction,96,14,3qe,POINT (77.66604 12.92113)
Sarjapura Road Ibbaluru Junction,10,1,2cv,POINT (77.66585 12.9204)
Sarjapura Wipro Campus,56,13,27c,POINT (77.71354 12.89903)
Sarjapura Wipro Campus,16,6,na,POINT (77.71369 12.89886)
Sarvajna College/Vijayanagara,3,1,po,POINT (77.5391 12.97572)
Sasuveghatta Cross,9,3,2bi,POINT (77.47535 13.08473)
Sasuveghatta Cross,7,1,2by,POINT (77.47534 13.0847)
Sathanur,32,10,412,POINT (77.64742 13.13186)
Sathanur,19,11,48x,POINT (77.64739 13.13183)
Sathanur Colony,32,10,1g7,POINT (77.64651 13.12788)
Sathanur Colony,19,11,6r,POINT (77.64662 13.12786)
Sathya Nagara,3,1,40a,POINT (77.63984 13.00038)
Sathya Sai Baba Mandir,53,11,1po,POINT (77.75753 13.00118)
Sathya Sai Baba Mandir,34,6,248,POINT (77.75765 13.00124)
Sathya Sai Hospital,104,12,2s2,POINT (77.72773 12.9823)
Sathya Sai Hospital,122,13,4a3,POINT (77.72823 12.98263)
Savandarbar Ashrama,13,6,2ib,POINT (77.49228 12.90962)
Savandarbar Ashrama,2,1,3yd,POINT (77.49224 12.90959)
Savandurga,2,1,2os,POINT (77.29748 12.91561)
Savandurga Cross,2,1,1wm,POINT (77.27795 12.90483)
Savukanahalli,4,2,4a4,POINT (77.69453 13.26741)
Savukanahalli Gate,6,3,b9,POINT (77.6956 13.25801)
School Manchanayakanahalli,1,1,24b,POINT (77.40939 12.83736)
Seegehalli Gate,47,9,21g,POINT (77.44376 12.98408)
Seegehalli Gate,69,21,333,POINT (77.44389 12.98401)
Seegehalli Gate  Kadugodi,37,10,2n5,POINT (77.76101 13.01331)
Seegehalli Gate  Kadugodi,34,6,41c,POINT (77.76109 13.0131)
Seegehalli Junction,1,1,3io,POINT (77.71696 13.01628)
Seeresandra,5,2,un,POINT (77.48337 13.19185)
Seetha Circle,17,7,23l,POINT (77.54968 12.93779)
Seetha Circle,12,5,2ro,POINT (77.54882 12.93705)
Seethakempanahalli Gate,2,1,32q,POINT (77.52541 13.17377)
Seethanayakanahalli,4,2,237,POINT (77.65995 12.76923)
Seethanayakanahalli,1,1,df,POINT (77.65996 12.76926)
Seetharam Bhattarapalya,1,1,3xb,POINT (77.33455 13.06088)
Seetharam Bhattarapalya,2,2,459,POINT (77.33447 13.06111)
Sevanagara Varadenahalli,1,1,3pd,POINT (77.31387 12.97006)
Seventh Day School (Coles Park),20,4,3gg,POINT (77.61107 12.9956)
Shampura,5,1,26t,POINT (77.61427 13.02641)
Shaneshwaraswamy Temple Sheshagirihalli,19,4,3me,POINT (77.42114 12.84289)
Shanimahathma Temple,14,2,1o2,POINT (77.54338 12.8934)
Shanimahathma Temple,40,13,3x0,POINT (77.51601 12.83704)
Shanimahathma Temple,99,33,491,POINT (77.51612 12.83723)
Shanimahathma Temple,4,1,hk,POINT (77.69523 12.7162)
Shankanipura Gate,20,2,155,POINT (77.7762 13.10695)
Shankanipura Gate,31,6,1eo,POINT (77.77621 13.1069)
Shankar Mutt,1,1,12e,POINT (77.54095 12.99945)
Shankar Mutt,51,5,1q9,POINT (77.5417 12.99897)
Shankar Mutt,41,5,1sn,POINT (77.54161 12.99915)
Shankar Mutt,26,3,fu,POINT (77.54103 12.99939)
Shankara Nagara,80,6,3tu,POINT (77.54378 13.01597)
Shankara Nagara,75,3,ki,POINT (77.54381 13.01593)
Shankarnagh Bus Stand,65,4,1qs,POINT (77.52677 12.99472)
Shankarnagh Circle,4,1,2vt,POINT (77.55949 12.93657)
Shankarnagh Circle,1,1,36a,POINT (77.55954 12.93651)
Shanthi Talkies,1,1,1dn,POINT (77.57724 12.93686)
Shanthi Talkies,1,1,sf,POINT (77.57899 12.93669)
Shanthinagara,2,1,1il,POINT (77.47343 13.02626)
Shanthinagara Bus Station,168,38,2e2,POINT (77.59258 12.95449)
Shanthinagara Bus Station,212,35,48o,POINT (77.59235 12.95483)
Shanthinagara KH Road,3,2,1tr,POINT (77.59178 12.95505)
Shanthinagara KH Road,5,2,1x9,POINT (77.59193 12.95501)
Shanthinagara Nelamangala,4,4,as,POINT (77.36737 13.07899)
Shanthinagara Nelamangala,4,3,bl,POINT (77.36703 13.07879)
Shanthiniketan Layout,4,1,1a,POINT (77.60342 12.88282)
Shanthiniketan Layout,7,2,3g0,POINT (77.60348 12.88283)
Shanubhoganahalli,3,1,2gs,POINT (77.32491 12.96136)
Shanubhoganahalli,8,5,3hk,POINT (77.32511 12.96156)
Shanubhoganahalli 1st Cross,2,1,2qn,POINT (77.56254 12.828)
Shanubhoganahalli 1st Cross,4,2,g3,POINT (77.56248 12.82804)
Shanubhoganahalli Bannerughatta,2,1,3ad,POINT (77.56146 12.8267)
Shanubhoganahalli Bannerughatta,4,2,su,POINT (77.56141 12.82672)
Shanubhoganahalli Gate (Dibbur Cross),2,1,46i,POINT (77.53019 13.17267)
Sharada Colony,23,4,1cx,POINT (77.53358 12.99239)
Sharadamba Nagara,1,1,3ik,POINT (77.54125 13.04588)
Sharadamba Nagara,2,1,t,POINT (77.5413 13.04588)
Sharadanagara,1,1,43n,POINT (77.5595 12.8925)
Sharadha Colony,15,1,14c,POINT (77.53436 12.99184)
Sharavathi Hotel,39,13,29d,POINT (77.58442 13.09798)
Sharavathi Hotel,50,14,fy,POINT (77.58435 13.09789)
Shastri Bakery,25,3,1m0,POINT (77.57354 12.92345)
Shastri Bakery,12,3,42l,POINT (77.57363 12.92369)
Sheganayakanahalli,2,2,12x,POINT (77.80927 12.9263)
Sheganayakanahalli Cross,1,1,14j,POINT (77.80893 12.9227)
Sheganayakanahalli Cross,1,1,2wm,POINT (77.80882 12.92269)
Shell Company,1,1,276,POINT (77.7004 13.15411)
Shell Petrol Bunk,37,10,2ly,POINT (77.7621 13.01756)
Shell Petrol Bunk,34,6,49o,POINT (77.76225 13.01774)
Sheshadripuram College,10,7,2ij,POINT (77.58864 13.10041)
Sheshadripuram College,42,14,334,POINT (77.58834 13.09951)
Sheshadripuram College,6,6,399,POINT (77.58866 13.10022)
Sheshadripuram College,54,16,3wj,POINT (77.58817 13.09943)
Sheshagirihalli,19,4,23a,POINT (77.4215 12.84352)
Sheshagirihalli,14,3,43h,POINT (77.42102 12.84359)
Sheshagiripura,5,2,nv,POINT (77.41809 12.88088)
Shettarahalli Cross,2,1,2t5,POINT (77.67635 13.26615)
Shettigere,1,1,2k6,POINT (77.66724 13.1798)
Shettigere,2,2,35k,POINT (77.66688 13.17921)
Shettigowdanahalli,2,1,2n1,POINT (77.3683 12.81139)
Shettigowdanahalli,2,1,3aa,POINT (77.36828 12.81144)
Shettyhalli,1,1,1my,POINT (77.51723 13.06482)
Shettyhalli,6,3,24j,POINT (77.51718 13.0649)
Shettyhalli Cross,33,8,2h5,POINT (77.52568 13.05024)
Shettyhalli Cross,25,9,il,POINT (77.52546 13.05011)
Shettyhalli Cross,5,2,kp,POINT (77.52554 13.05034)
Shikaripalya,1,1,2i7,POINT (77.65582 12.83386)
Shilpa Bakery Horamavu Road,6,1,38a,POINT (77.6506 13.03778)
Shine Bakery,1,1,1ms,POINT (77.62375 12.95074)
Shiradi Sai Temple Arakere,6,1,1t1,POINT (77.61003 12.88302)
Shirdi Sai Nagara,1,1,1wu,POINT (77.63797 13.0668)
Shirke KHB Quarters,29,8,1m4,POINT (77.48751 12.93133)
Shirke KHB Quarters,22,3,2ot,POINT (77.48772 12.93175)
Shiva Ittige Factory,14,5,26f,POINT (77.84935 12.92781)
Shiva Ittige Factory,12,6,wi,POINT (77.85018 12.92749)
Shivagiri Choultry Vijyapura,3,1,3ci,POINT (77.79103 13.29467)
Shivagiri Choultry Vijyapura,5,3,qk,POINT (77.79109 13.29465)
Shivaji Hotel,30,6,3sx,POINT (77.4766 12.943)
Shivaji Hotel,18,7,dp,POINT (77.47649 12.94311)
Shivajinagara Bus Station,13,5,2ad,POINT (77.60341 12.98328)
Shivajinagara Bus Station,160,52,49i,POINT (77.60304 12.98328)
Shivajinagara Bus Station,214,73,x0,POINT (77.60323 12.98396)
Shivakote,8,3,1a0,POINT (77.51473 13.13401)
Shivakote,3,2,3nx,POINT (77.51471 13.13393)
Shivakote,7,2,3sc,POINT (77.51478 13.13333)
Shivakote,2,2,k0,POINT (77.51476 13.13403)
Shivakote Cross,7,2,qn,POINT (77.51326 13.13552)
Shivakote Cross,2,1,sz,POINT (77.51331 13.13555)
Shivanaapura,2,1,302,POINT (77.90396 13.15347)
Shivanahalli,1,1,k5,POINT (77.57256 12.72333)
Shivanahalli 4th Main,1,1,37o,POINT (77.54683 12.98895)
Shivananda Store,88,28,128,POINT (77.58022 12.98735)
Shivananda Store,5,3,26u,POINT (77.57873 12.98724)
Shivananda Store,75,24,3i8,POINT (77.57938 12.98666)
Shivananda Store,15,4,4aj,POINT (77.58039 12.98755)
Shivanapura,4,4,3fe,POINT (77.42152 13.04926)
Shivanapura Colony 1,2,2,2qx,POINT (77.4227 13.04501)
Shivanapura Cross,2,1,16d,POINT (77.88456 13.17693)
Shivanapura Cross 1,2,2,43d,POINT (77.42223 13.04142)
Shivanapura Cross Hosakote,2,1,13y,POINT (77.89668 13.15326)
Shivanasandra,1,1,1ws,POINT (77.16401 13.02359)
Shobha Apartment,3,1,f4,POINT (77.73453 12.73965)
Shobha Tulip JP Nagara,9,3,nh,POINT (77.58591 12.89805)
Shoolay Circle Brigade Road,17,5,2u9,POINT (77.60687 12.96584)
Shoolay Circle Brigade Road,27,8,3ov,POINT (77.60666 12.96659)
